Stn_No,time,Lat,Long,Precip
50658,2010,4803,12553,2895
50658,2011,4803,12553,3151
50658,2012,4803,12553,3733
50658,2013,4803,12553,4852
50658,2014,4803,12553,4631
50658,2015,4803,12553,3153
50658,2016,4803,12553,1465
50659,1994,4802,12615,3222
50659,1999,4802,12615,3749
50659,2000,4802,12615,2997
50659,2001,4802,12615,3876
50659,2002,4802,12615,2356
50659,2003,4802,12615,4793
50659,2004,4802,12615,2952
50659,2005,4802,12615,3126
50659,2006,4802,12615,4868
50659,2007,4802,12615,1921
50659,2008,4802,12615,1510
50659,2009,4802,12615,5181
50659,2010,4802,12615,2846
50659,2011,4802,12615,2959
50659,2012,4802,12615,3855
50659,2013,4802,12615,4449
50659,2014,4802,12615,4219
50659,2015,4802,12615,2615
50659,2016,4802,12615,1361
50659,2016,4803,12614,1001
50673,1994,4853,13024,2137
50673,1995,4853,13024,2112
50673,1996,4853,13024,3720
50673,1997,4853,13024,4616
50673,1998,4853,13024,1625
50673,1999,4853,13024,3956
50673,2000,4853,13024,3360
50673,2001,4853,13024,4758
50673,2002,4853,13024,4543
50673,2003,4853,13024,3351
50673,2004,4853,13024,2477
50673,2005,4853,13024,2717
50673,2006,4853,13024,3878
50673,2007,4853,13024,2769
50673,2008,4853,13024,1617
50673,2009,4853,13024,5080
50673,2010,4853,13024,3964
50673,2011,4853,13024,2853
50673,2012,4853,13024,4585
50673,2013,4853,13024,4300
50673,2014,4853,13024,3232
50673,2015,4853,13024,3405
50673,2016,4853,13024,3480
50674,1994,4834,12926,2956
50674,1995,4834,12926,2336
50674,1996,4834,12926,2971
50674,1997,4834,12926,5140
50674,1998,4834,12926,1512
50674,1999,4834,12926,3344
50674,2000,4834,12926,2622
50674,2001,4834,12926,3308
50674,2002,4834,12926,3915
50674,2003,4834,12926,3818
50674,2004,4834,12926,2992
50674,2005,4834,12926,3881
50674,2006,4834,12926,4612
50674,2007,4834,12926,2643
50674,2008,4834,12926,2935
50674,2009,4834,12926,4430
50674,2010,4834,12926,3974
50674,2011,4834,12926,4455
50674,2012,4834,12926,3800
50674,2013,4834,12926,4945
50674,2014,4834,12926,3036
50674,2015,4834,12926,3035
50674,2016,4834,12926,3798
50727,1994,4710,11957,3884
50727,1995,4710,11957,2368
50727,1996,4710,11957,3528
50727,1997,4710,11957,2564
50727,1998,4710,11957,3954
50727,1999,4710,11957,1168
50727,2000,4710,11957,2166
50727,2001,4710,11957,2079
50727,2002,4710,11957,2721
50727,2003,4710,11956,3064
50727,2004,4710,11956,1238
50727,2005,4710,11956,2292
50727,2006,4710,11956,2745
50727,2007,4710,11956,1801
50727,2008,4710,11956,2484
50727,2009,4710,11956,2827
50727,2010,4710,11956,1838
50727,2011,4710,11956,3918
50727,2012,4710,11956,4020
50727,2013,4710,11956,3763
50727,2014,4710,11956,4341
50727,2015,4710,11956,4471
50727,2016,4710,11956,1699
50739,1994,4720,12311,3207
50739,1995,4720,12311,1862
50739,1996,4720,12311,3620
50739,1997,4720,12311,2615
50739,1998,4720,12311,6795
50739,1999,4720,12311,2427
50739,2000,4720,12311,2771
50739,2001,4720,12311,1508
50739,2002,4720,12311,2920
50739,2003,4720,12311,5216
50739,2004,4720,12311,1153
50739,2005,4720,12311,4443
50739,2006,4720,12311,3984
50739,2007,4720,12311,2764
50739,2008,4720,12311,4232
50739,2009,4720,12311,3798
50739,2010,4720,12311,2171
50739,2011,4720,12311,4466
50739,2012,4720,12311,3473
50739,2013,4720,12311,4848
50739,2014,4720,12311,3273
50739,2015,4718,12315,3852
50739,2016,4718,12315,1175
50741,1994,4756,12330,3573
50741,1995,4756,12330,2997
50741,1996,4756,12330,2608
50741,1997,4756,12330,2623
50741,1998,4756,12330,7957
50741,1999,4756,12330,2626
50741,2000,4756,12330,3510
50741,2001,4756,12330,2339
50741,2002,4756,12330,2984
50741,2003,4756,12330,3899
50741,2004,4756,12330,1156
50741,2005,4756,12330,3464
50741,2006,4756,12330,3387
50741,2007,4756,12330,2218
50741,2008,4756,12330,2521
50741,2009,4756,12330,4860
50741,2010,4756,12330,2447
50741,2011,4756,12330,2841
50741,2012,4756,12330,2740
50741,2013,4756,12330,4913
50741,2014,4756,12330,4299
50741,2015,4756,12330,4769
50741,2016,4756,12330,2333
50742,1994,4748,12429,2597
50742,1995,4748,12429,1878
50742,1996,4748,12429,2637
50742,1997,4748,12429,3139
50742,1998,4748,12429,5721
50742,1999,4748,12429,2382
50742,2000,4748,12429,2169
50742,2001,4748,12429,2283
50742,2002,4748,12429,2148
50742,2003,4748,12429,4509
50742,2004,4748,12429,2067
50742,2005,4748,12429,2879
50742,2006,4748,12429,4392
50742,2007,4748,12429,1495
50742,2008,4748,12429,2158
50742,2009,4748,12429,5361
50742,2010,4748,12429,2325
50742,2011,4748,12429,3558
50742,2012,4748,12429,2417
50742,2013,4748,12429,4255
50742,2014,4748,12429,3548
50742,2015,4748,12429,4131
50742,2016,4748,12429,1873
50745,1994,4723,12355,2604
50745,1995,4723,12355,1869
50745,1996,4723,12355,3184
50745,1997,4723,12355,2490
50745,1998,4723,12355,3913
50745,1999,4723,12355,3374
50745,2000,4723,12355,2577
50745,2001,4723,12355,1724
50745,2002,4723,12355,2398
50745,2003,4723,12355,5239
50745,2004,4723,12355,1952
50745,2005,4723,12355,3410
50745,2006,4723,12355,3958
50745,2007,4723,12355,2627
50745,2008,4723,12355,2151
50745,2009,4723,12355,4020
50745,2010,4723,12355,3355
50745,2011,4723,12355,3116
50745,2012,4723,12355,3354
50745,2013,4723,12355,4786
50745,2014,4723,12355,2681
50745,2015,4723,12355,3403
50745,2016,4723,12355,1368
50749,1994,4711,12450,3905
50749,1995,4711,12450,2019
50749,1996,4711,12450,2170
50749,1997,4711,12450,3182
50749,1998,4711,12450,5710
50749,1999,4711,12450,2519
50749,2000,4711,12450,2856
50749,2001,4711,12450,2505
50749,2002,4711,12450,2451
50749,2003,4711,12450,3217
50749,2004,4711,12450,1930
50749,2005,4711,12450,3425
50749,2006,4711,12450,4994
50749,2007,4711,12450,1309
50749,2008,4711,12450,1823
50749,2009,4711,12450,3410
50749,2010,4711,12450,2127
50749,2011,4711,12450,3471
50749,2012,4711,12450,3223
50749,2013,4711,12450,4420
50749,2014,4711,12450,2696
50749,2015,4711,12450,5202
50749,2016,4711,12450,2648
50750,1994,4754,12518,2925
50750,1995,4754,12518,2144
50750,1996,4754,12518,3477
50750,1997,4754,12518,3369
